is_number,scheme,certification_status,compulsory,product_category,qco_name,notification_reference,source_document,source_url
IS 269:2015,Scheme-I,Compulsory BIS Certification,true,Cement - Ordinary Portland Cement,"Cement (Quality Control) Order, 2003","S.O. 191(E) dated 17 February 2003",Product Manual for Ordinary Portland Cement according to IS 269:2015,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/
IS 383:2016,Scheme-I,Compulsory BIS Certification,true,Coarse and Fine Aggregate for Concrete,,,Product Manual for Coarse and Fine Aggregate for Concrete according to IS 383:2016,https://www.bis.gov.in/wp-content/uploads/2019/09/IS_383_03092019.pdf
IS 10500:2012,Scheme-I,Compulsory BIS Certification,true,Drinking Water,,,Product Manual for Drinking Water according to IS 10500:2012,https://www.bis.gov.in/wp-content/uploads/2020/10/PM-IS-10500.pdf
IS 13252 (Part 1):2010,Scheme-II,Compulsory Registration,true,Information Technology Equipment,"Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021",,,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/
